Designator,Mid X,Mid Y,Rotation,Layer
R6,213.724643,-128.2525,90.0,top
R60,197.775893,-41.7625,0.0,top
R61,200.550893,-41.8625,0.0,top
R62,203.025893,-41.9125,0.0,top
R63,205.425893,-41.8125,0.0,top
R64,207.975893,-41.7375,0.0,top
R65,210.725893,-41.8875,0.0,top
R66,213.275893,-41.7625,0.0,top
R67,215.450893,-41.7875,0.0,top
R68,218.275893,-41.7375,0.0,top
R69,220.875893,-41.7625,0.0,top
R7,215.714643,-128.2525,90.0,top
R70,223.225893,-41.8125,0.0,top
R71,225.750893,-41.7375,0.0,top
R72,228.350893,-41.7875,0.0,top
R73,217.714643,-125.8525,270.0,top
R74,215.724643,-125.8525,270.0,top
R75,213.734643,-125.8525,270.0,top
R76,211.744643,-125.8525,270.0,top
R77,209.754643,-125.8525,270.0,top
R78,207.764643,-125.8525,270.0,top
R79,205.774643,-125.8525,270.0,top
R8,217.704643,-128.2525,90.0,top
R80,203.784643,-125.8525,270.0,top
R9,164.209643,-74.8875,90.0,top
U1,251.927857,-110.2375,90.0,top
U10,168.332857,-96.0725,270.0,top
U11,180.202245,-79.89625,270.0,top
U12,180.212959,-96.0925,270.0,top
U13,192.044847,-79.88375,270.0,top
U14,192.030561,-95.685,270.0,top
U15,203.887449,-79.82125,270.0,top
U16,203.910663,-95.785,270.0,top
U17,215.719337,-79.87,270.0,top
U18,215.767551,-95.815,270.0,top
U19,227.599439,-79.95125,270.0,top
U2,180.870459,-110.2375,90.0,top
U20,227.610153,-95.8775,270.0,top
U21,239.442041,-79.995,270.0,top
U22,239.415255,-95.74,270.0,top
U23,251.284643,-79.85125,270.0,top
U24,251.270357,-95.94625,270.0,top
U25,177.55,-133.625,0.0,top
U26,201.810893,-50.9375,0.0,top
U27,217.160893,-50.6125,0.0,top
U28,189.560893,-50.8625,0.0,top
U29,228.863393,-50.5125,0.0,top
U3,228.233725,-110.1875,90.0,top
U30,165.6,-128.45,0.0,top
U4,204.552092,-110.1875,90.0,top
U5,169.029643,-110.1625,90.0,top
U6,192.698776,-110.1375,90.0,top
U7,216.430409,-110.175,90.0,top
U8,240.087041,-110.1625,90.0,top
U9,168.384643,-79.8325,270.0,top
